DESCRIPTION,GROUP_CODE,PCODE,PURCHASE_PRICE,SALES_PRICE
 078--Axil Tube 2TR/Kingo From Scrab,48,78,4500,100
001_010 Metal and Main Bearing 2TR,40,1,7500,7500
001_010 Metal and Main Bearing 2TR,40,1,6500,6500
001_010 Metal and Main Bearing 2TR,40,1,10500,100
001_010 Metal and Main Bearing 2TR,40,1,7500,7500
001_010 Metal and Main Bearing 2TR,40,1,7500,7700
001_010 Metal and Main Bearing 2TR,40,1,7500,7500
001_010 Metal and Main Bearing 2TR,40,1,7600,7600
001_010 Metal and Main Bearing 2TR,40,1,7500,7700
001_010 Metal and Main Bearing 2TR,40,1,7500,8500
001_010 Metal and Main Bearing 2TR,40,1,7500,7500
001_010 Metal and Main Bearing 2TR,40,1,7500,7500
001_010 Metal and Main Bearing 2TR,40,1,7500,7500
001_010 Metal and Main Bearing 2TR,40,1,7500,8500
001_010 Metal and Main Bearing 2TR,40,1,7500,8500
001_010 Metal and Main Bearing 2TR,40,1,7500,8500
001_010 Metal and Main Bearing 2TR,40,1,7500,8500
001_010 Metal and Main Bearing 2TR,40,1,7500,8500
001_010 Metal and Main Bearing 2TR,40,1,7500,7700
001_010 Metal and Main Bearing 2TR,40,1,7500,7700
001_010 Metal and Main Bearing 2TR,40,1,7500,7500
001_010 Metal and Main Bearing 2TR,40,1,7500,8500
001_010 Metal and Main Bearing 2TR,40,1,7500,8500
001_010 Metal and Main Bearing 2TR,40,1,7500,8500
001_010 Metal and Main Bearing 2TR,40,1,7500,8500
001_010 Metal and Main Bearing 2TR,40,1,7500,8500
001_010 Metal and Main Bearing 2TR,40,1,7500,8500
001_010 Metal and Main Bearing 2TR,40,1,7500,8500
001_010 Metal and Main Bearing 2TR,40,1,7500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,12500
001_010 Metal and Main Bearing 2TR,40,1,7500,8500
001_010 Metal and Main Bearing 2TR,40,1,7500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,8500
001_010 Metal and Main Bearing 2TR,40,1,7500,8500
001_010 Metal and Main Bearing 2TR,40,1,7500,8500
001_010 Metal and Main Bearing 2TR,40,1,7500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,12500
001_010 Metal and Main Bearing 2TR,40,1,7500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,12500
001_010 Metal and Main Bearing 2TR,40,1,8500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,8500
001_010 Metal and Main Bearing 2TR,40,1,7500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,8500
001_010 Metal and Main Bearing 2TR,40,1,8500,8500
001_010 Metal and Main Bearing 2TR,40,1,7500,7500
001_1 Head Wheel Spaner,60,1,250,100
001_1 Head Wheel Spaner,60,1,500,500
001_1 Head Wheel Spaner,60,1,250,250
001_1 Head Wheel Spaner,60,1,250,250
001_1 Head Wheel Spaner,60,1,250,250
001_1 Head Wheel Spaner,60,1,250,250
001_1 Head Wheel Spaner,60,1,250,250
001_1 Head Wheel Spaner,60,1,250,250
001_1 Head Wheel Spaner,60,1,250,250
001_1 Head Wheel Spaner,60,1,250,250
001_1 Head Wheel Spaner,60,1,250,250
001_1 Head Wheel Spaner,60,1,250,250
001_1 Head Wheel Spaner,60,1,250,250
001_1 Head Wheel Spaner,60,1,250,250
001_1 Head Wheel Spaner,60,1,250,250
001_1 Head Wheel Spaner,60,1,250,250
001_1 Head Wheel Spaner,60,1,250,250
001_1 Head Wheel Spaner,60,1,250,250
001_1 Head Wheel Spaner,60,1,250,250
001_1 Head Wheel Spaner,60,1,250,250
